price_vnd,sim_number 
1930961,776260543
3451235,822977488
4593908,707963979
1083000,344134986
3642782,795718118
1950601,974828772
7873675,818999191
1152895,329730568
4938028,585444777
3042808,904179189
1494511,343759368
1039705,342855345
2159046,763644188
2232949,943784318
961999,335342968
10749815,588086886
4090041,858130713
2497111,375808339
1821229,367527866
2106149,764011368
3922540,378569788
3945110,931209686
8228298,386495666
2763162,776266263
1561634,327007239
2103920,947428605
2017237,944036827
6071614,901889987
4045427,967267781
994240,327010400
5389480,911047555
2850837,943669689
2793074,375935639
2348856,943533543
3455903,865161510
2658882,769739123
1184231,326160839
7451364,865660789
3736815,814398899
1994422,983279854
1577376,352089198
11452105,886696996
2298652,942536206
13774211,362153153
2981820,904950956
3344349,912441993
4673268,852218557
4284704,773357857
2208445,971451456
6681185,828593838
9828701,888886216
2248204,941193095
11665739,964758789
5369948,925659669
4892874,931395779
3259458,823459393
3797405,901255661
6551927,767186868
2617235,762551966
3314791,708076336
9100282,384050888
4459064,976670701
939395,368804994
3890951,932342542
2126624,328178586
1194012,879301068
5932016,784123789
9245029,797669666
9769335,825563678
3950568,919026866
1435737,879591269
17219238,853957957
7818320,338111186
3810427,708066061
2398601,702758123
2926037,934109125
2854696,326588813
76800393,775928888
2453131,763766123
2160779,941744298
2346343,762615611
4035326,933002268
871856,329333046
7934751,888985859
10015889,345657888
3843234,909138507
3955483,978626369
18717081,979999307
11863473,898582989
2678945,566103779
2722372,936180407
2746308,931847086
1311405,362259468
2213751,879197985
3615465,981579269
2774594,846634234
8090738,339952555
4330477,827131616
2169407,973232724
2898351,828430567
27877225,377737373
2101329,986152024
5082415,365262777
1045372,343870388
1096386,344283889
6039227,779802666
3788409,866275552
5354522,898822121
5236989,983248444
2242083,763590592
4064006,966993107
966091,343274286
3473163,795690697
5545557,908179900
1470907,336232039
4016374,866998923
1470959,343788939
2219214,948874921
3023321,867023502
4642047,907667893
2512803,942517151
17127986,939267979
1150243,326849066
3960127,902571757
2167554,763749745
2299261,799098432
4599564,932320279
4772109,947645566
5498669,775666866
966091,343745288
1763243,358190886
1053732,342717008
2905172,984934446
2105728,799163543
1931658,702644722
10652668,343992888
1957760,971201184
11989173,812002888
1462131,357770239
3693726,796010110
1083000,879484131
2615028,342141996
5498670,866985676
4557290,981037997
2246141,945441689
27142283,795626262
2130041,974861231
2954338,932305439
1148513,373433577
4992105,762626621
5552745,819008833
4760712,862266168
1737457,974430243
1470959,343698439
4217083,865187892
1908078,865196496
4650051,922781379
12708931,769888846
7500502,962111661
920333,335704939
1186886,343586366
1083000,364134766
2680443,383296886
1448391,325671319
12922848,707999779
1046108,334361388
2280786,799171764
4689492,938583969
6380193,889626656
2345394,945990718
5372524,787283555
3328695,965262087
2182255,799184584
822134,334271204
2310497,385681586
2773997,762771961
5736800,812011983
1973503,983642348
4684999,856167979
2126508,767131345
4474424,929115579
5056718,567379779
1703797,356125139
3318010,792423222
1060098,333241788
6040630,899936386
2996800,707365563
3162987,522011998
3797405,909265095
4937100,818040868
3048588,888546454
4545970,903301913
4235514,938292595
1822005,866247778
1231664,384754779
15226364,911117717
1654770,865406939
1696581,329572399
3222861,706027979
4254820,976111032
2369547,943823307
1647165,862984079
3131726,708086084
28567906,942166622
1423861,335260001
2646415,568103168
966091,343294234
2504055,773362676
4169974,813861315
17121167,365444443
13219694,358525525
15281799,788888335
3515419,961580359
10431717,888866991
878185,343310591
3794077,763538338
4553657,865918568
2960046,523991981
2967978,905123254
3763642,854100300
1685311,862943499
5213208,367879677
1470907,329082839
4496475,865686780
966091,326854399
3554042,702131982
4156550,889797356
1041902,879160884
2895872,398137788
2951552,763746646
8929470,908697333
2865995,762621961
8854159,933838386
1840968,987948476
6741134,966689610
3090575,369891985
4445964,936330133
3732580,868652679
7228942,868929993
9054825,968366658
4165718,898529313
4445833,898311227
11169347,375760888
1650074,375954554
821805,344280184
4831178,926368118
2736467,965034886
3447207,845678283
1975521,352159179
1809921,965148524
1487642,877152366
5571351,862982228
1603894,376295388
4103105,911690139
6104286,775687678
4614893,865396766
8963818,798666622
1332633,333417699
1603894,386736286
5582693,932338688
6977568,855996899
3914694,769264555
4959951,918358338
1711787,332892966
1571089,343982017
1595905,327762139
2798535,762512812
4621033,979702011
2735440,762701983
1415482,342847889
943583,342872939
2293952,773372543
4661072,979100610
3311609,966184579
10928784,847423678
6115442,368285789
998700,327943969
3275051,986252050
1711787,382356268
2109425,762644811
2072613,949470392
2078768,762534537
12161500,876246888
1194012,877010683
3736085,789106969
4047616,926363359
2797859,879258288
9821280,888863879
8030279,964444083
1404692,349228488
7475179,936995595
865230,329041639
2567946,336503337
874671,329490639
3954768,889505697
5399481,856865986
2580404,919101141
10928784,827314678
2766115,795701012
2866154,388855922
1974422,944091367
4428418,888675505
2556207,702692392
4941054,865989538
2327679,945080959
2459727,795593345
901214,328004699
10358517,786877774
6745101,705939799
5090883,818367779
5339184,837666279
1213512,326090693
2236280,877117577
6603380,836989879
5135182,793778899
1887568,865987654
3586442,985625562
2546121,786552233
1307549,325711141
4568229,921697980
2392422,763539439
6773376,833181886
5033881,901884588
5320340,827555886
13139038,335830000
53772119,819111666
820492,328480669
1104475,326147299
105259502,398059999
1727584,335190600
6548919,769319939
822134,383240191
7425320,707355556
4540364,987552019
4803325,522341984
3691791,989160975
41302886,838858999
4235599,369967386
5510245,925122009
2206299,943743227
1999865,944300694
3651064,942771970
5183614,931624777
2141562,867514679
2656810,934965486
2114457,762401379
7242533,909969612
3280716,854218639
3311799,783669900
216012222,762226666
992762,342986379
5054225,906176990
2951973,328661886
9926426,813297678
10696982,888882687
6360364,798779886
2216282,369766079
2964904,522041994
2673089,523982008
4275684,829012368
1421786,339021797
4885426,968381339
4594832,814066686
3252705,768179568
9056584,816868988
1874423,964903258
3798213,782149555
3135803,898325774
1804473,358892939
3991263,335886636
3963754,983967785
14747397,971197789
2293327,948108910
3011240,938221148
5467597,927502008
2908738,325222007
3498842,763556551
140750132,965665665
1672020,352397169
4319968,979880568
1603894,336736239
25693165,799972972
3597096,708137131
1994177,332121286
2305625,941144664
2179086,877111822
4390734,779183838
14021098,766669868
961999,332712499
3667228,846761333
8654500,799933777
2226964,763578345
13228035,566088688
10711021,848971678
3712309,969108028
5589755,813061976
10890143,819429678
3178125,934138558
2039345,913134404
2202431,942470223
4961973,812855866
4084412,815056839
6408762,705691666
3802667,971782022
325645294,707777888
880361,877150804
955668,343300053
44771350,886666696
2287443,794402879
3199606,888344456
3896843,778500788
2874048,567649946
1213512,329300566
5467671,858976986
6089678,938646636
3326391,886223444
4490180,903783179
5580326,921071992
4210772,929056768
3463053,972210163
4056843,862928339
19530566,799977970
3087401,763071797
1899040,865837840
1529676,354637536
4449017,888940418
4669984,813677997
974710,326825466
1744604,326516739
5019173,909176870
56997853,707082222
150720133,847383838
4118183,359239222
3706069,926478578
2869684,763669664
3410535,843587386
952715,326594739
3424061,972569611
853955,343180839
5276718,967736707
6693337,876686839
2668817,984318986
7469482,823838878
3528906,978206179
2312555,945305179
8617112,965770222
1944520,974127557
2088029,702669456
2713868,902414078
1470907,336082539
974710,348952766
2996249,877007768
5404459,368833638
901759,344001144
1056827,877104779
1508991,334879486
1967161,865184479
6494967,977378837
6934854,813369777
1878490,961842494
821805,327470286
8213270,788841999
1595905,376213266
1429208,336002786
3894707,901687267
9683442,857809678
3562467,972112568
4742451,826022027
2762333,336137866
966091,349923786
5186590,816711677
6687359,359390199
14650378,859457457
8891813,783838078
3652608,355977898
2126508,773313654
1213295,334813188
2864713,388368519
879335,345980169
3782584,972215921
1797223,865475378
12371453,338127999
2880082,763061067
3607860,912530939
4938948,937229329
3178798,942697898
14929105,704411411
31724606,777040404
2698330,945662756
5592199,794225666
1152895,327530539
4445964,909110637
